nama_kegiatan,skpd,harga_kontrak,nomor,nama_pekerjaan,metode,npwp,nama_perusahaan,alamat,hps,penawaran,setelah_negosiasi,alamat_pemenang,npwp
Belanja Pakaian Olahraga ( Pencak Silat Prov ),Dinas Pemuda dan Olah Raga,73502000,027/07/PPBJ-14.04-ps/Dispora/XI/2014,Belanja Bahan Baku Bangunan,Pengadaan Langsung,02.366.828.8-422.000,CV. RIZKY ANEKA JASA,Jl. Cigondewah No. 60,153911285,153557080,153015940,CV. RIZKY ANEKA JASA Jl. Cigondewah No. 60,02.366.828.8-422.000
Belanja Pakaian Olahraga ( Festival Pakaian Senam Tk. Kota Bandung ),Dinas Pemuda dan Olah Raga,136686000,027/07/PPBJ-14.04-fs/Dispora/XI/2014,Jasa Pelatihan/Outbond Pegawai Se-Kecamatan Sukasari,Pengadaan Langsung,31.301.225.4-429.000,CV. VIVA WISATA INDONESIA,JL. CIKAMPEK 14 NO 9 ANTAPANI,63910000,65120000,64900000,CV. VIVA WISATA INDONESIA JL. CIKAMPEK 14 NO 9 ANTAPANI,31.301.225.4-429.000
Belanja Modal Pengadaan Radio HF/FM (Handy Talkie),Dinas Pemuda dan Olah Raga,97911000,027/07/PPBJ-17.04-ht/Dispora/XII/2014,Belanja Modal pengadaan konstruksi/pembelian bangunan taman,Pengadaan Langsung,31.717.557.8-424.000,CV. DASYA PRATAMA,Jl. Sindang Palay No. 15B Bandung,119670078,119159120,118884120,CV. DASYA PRATAMA Jl. Sindang Palay No. 15B Bandung,31.717.557.8-424.000
Belanja Modal Pengadaan Proyektor,Dinas Pemuda dan Olah Raga,190135000,027/07/PPBJ-06.03.21/Dispora/XII/2014,Pengadaan pakaian dinas,Pengadaan Langsung,02.366.770.2-422.000,CV. PALINDO MITRA UTAMA,Jl. Sauyunan Mas II No. 8 Bandung,66316800,66132000,66085800,CV. PALINDO MITRA UTAMA Jl. Sauyunan Mas II No. 8 Bandung,02.366.770.2-422.000
Belanja Pakaian Olahraga ( PORPEMDA ),Dinas Pemuda dan Olah Raga,197439000,027/07/PPBJ-20.06-pp/Dispora/XI/2014,Pengadaan layanan aplikasi SMS Center,Pengadaan Langsung,02.446.302.8-424.000,PT MEDIA ADHIKARYA GEMPITA,Jl. Kembar I no 46,90530000,90530000,90530000,PT MEDIA ADHIKARYA GEMPITA Jl. Kembar I no 46,02.446.302.8-424.000
Belanja Barang yang akan dijual / diserahkan kepada kepada pihak ketiga/ masyarakat (Hadiah Festival Senam Tk. Kota Bandung),Dinas Pemuda dan Olah Raga,58892900,027/07/PPBJ-25.01-fs/Dispora/XII/2014,Belanja Modal Pengadaan Printer,Pengadaan Langsung,01.583.001.1-062.000,PT. MITRA INFOSARANA,Jl. Baranangsiang kav 32 Komp ITC Kosambi Bandung,108772400,108772400,108521600,PT. MITRA INFOSARANA Jl. Baranangsiang kav 32 Komp ITC Kosambi Bandung,01.583.001.1-062.000
Belanja Modal Pengadaan Konstruksi/Pembelian*)Sarana Olahraga di 30 Kecamatan (Lengkong),Dinas Pemuda dan Olah Raga,66401880,027/07/PPBJ-26.08-lk/Dispora/VIII/2014,Belanja Makanan dan Minuman Kegiatan,Pengadaan Langsung,31.717.557.8-424.000,CV. DASYA PRATAMA,Jl. Sindang Palay No. 15B Bandung,156984300,155948100,155430000,CV. DASYA PRATAMA Jl. Sindang Palay No. 15B Bandung,31.717.557.8-424.000
Belanja Barang Yang akan diserahkan atau dijual kepada masyarakat/pihak ketiga (peralatan Kontingen PORPEMDA),Dinas Pemuda dan Olah Raga,166810020,027/07/PPBJ-20.06-pkp/Dispora/XI/2014,Belanja Makan dan Minum Kegiatan,Pengadaan Langsung,02.554.740.7-422.000,CV. DAFFA ABADI,Jl. Caringin GG. Lumbung II Kav. I No. 101,71736000,71030400,70560000,CV. DAFFA ABADI Jl. Caringin GG. Lumbung II Kav. I No. 101,02.554.740.7-422.000
Belanja Modal Pengadaan Almari Locker Room,Dinas Pemuda dan Olah Raga,188540000,027/07/PPBJ-13.lr/Dispora/XII/2014,Belanja Modal Pengadaan Komputer/PC,Pengadaan Langsung,07.231.695.3-424.000,PD. PELAJAR PEJUANG,Jl. Pelajar Pejuang 45 No. 86 A,63800000,63717500,63580000,PD. PELAJAR PEJUANG Jl. Pelajar Pejuang 45 No. 86 A,07.231.695.3-424.000
Belanja Modal Pengadaan Kontruksi/Pembelian *)Sarana Olahraga di 30 Kecamatan (Kecamatan Bandung Kulon),Dinas Pemuda dan Olah Raga,66194610,027/07/PPBJ-21.02.26.08-bku/Dispora/VIII/2014,Belanja Cetak,Pengadaan Langsung,31.717.557.8-424.000,CV. DASYA PRATAMA,Jl. Sindang Palay No. 15B Bandung,83399250,81763000,79076250,CV. DASYA PRATAMA Jl. Sindang Palay No. 15B Bandung,31.717.557.8-424.000
Belanja Modal Pengadaan Alat Musik,Dinas Pemuda dan Olah Raga,148989500,027/07/PPBJ-22.am/Dispora/XII/2014,"Belanja Bunga Ucapan Berupa Bunga Potong, Bunga Meja Dll Bulan Maret 2014",Pengadaan Langsung,21.013.333.6-424.000,CV. PERDANA SAPUTRA,Jl. Labuan No.37 Bandung,59840000,59391200,58916000,CV. PERDANA SAPUTRA Jl. Labuan No.37 Bandung,21.013.333.6-424.000
Belanja Sewa Sarana Mobilitas Darat ( PORPEMDA ),Dinas Pemuda dan Olah Raga,135300000,027/07/PPBJ-08.sk/Dispora/XII/2014,Pengadaan ATK Pada Sub Bag RTP,Pengadaan Langsung,02.606.617.5-423.000,CV. SURYA SEJAHTERA,JALAN CIHAMPELAS NO.223B,59224220,58952960,58439260,CV. SURYA SEJAHTERA JALAN CIHAMPELAS NO.223B,02.606.617.5-423.000
Belanja Sewa Tenda,Dinas Pemuda dan Olah Raga,119205240,027/07/PPBJ-16.st/Dispora/X/2014,Renovasi dan Penataan Gedung PKK,Pengadaan Langsung,31.320.847.2-428.000,CV. GARUDA PERSADA,Jl. Raya Cimindi No.274,189623222,189395350,189035490,CV. GARUDA PERSADA Jl. Raya Cimindi No.274,31.320.847.2-428.000
Belanja Modal Pengadaan Lemari Makan (Kitchen Set),Dinas Pemuda dan Olah Raga,92730000,027/07/PPBJ-13.kt/Dispora/XII/2014,Laburan Benteng Keliling Balaikota,Pengadaan Langsung,02.778.694.6-423.000,CV. SETIA MANDIRI,Jl. Setia II No. 7 Padasuka Bandung,149567765,149401410,149092900,CV. SETIA MANDIRI Jl. Setia II No. 7 Padasuka Bandung,02.778.694.6-423.000
Belanja Modal Pengadaan Konstruksi/Pembelian*)Sarana Olahraga di 30 Kecamatan (Mandalajati),Dinas Pemuda dan Olah Raga,66843900,027/07/PPBJ-26.mdl/Dispora/VIII/2014,Perbaikan bocoran-bocoran Rumdin Wakil Walikota,Pengadaan Langsung,01.531.465.1-423.000,CV. RINDANG UTAMA,Jalan Utama No. 24 Padasuka Bandung,99696520,99553520,99092820,CV. RINDANG UTAMA Jalan Utama No. 24 Padasuka Bandung,01.531.465.1-423.000
Belanja Modal Pengadaan Konstruksi/Pembelian*)Sarana Olahraga di 30 Kecamatan (Buahbatu),Dinas Pemuda dan Olah Raga,66683440,027/07/PPBJ-26-bb/Dispora/VIII/2014,Pengadaan hand phone jenis android,Pengadaan Langsung,31.603.403.2-423.000,CV. DEFIZA PRIORITAS,Jl. Sukaluyu I No.39 RT.02 RW.06,57937000,57930400,57904000,CV. DEFIZA PRIORITAS Jl. Sukaluyu I No.39 RT.02 RW.06,31.603.403.2-423.000
Belanja Jasa Penyelengaaran Acara,Dinas Pemuda dan Olah Raga,184881400,027/07/PPBJ-16.01Dispora/XII/2014,Pengadaan Pakaian Adat Sunda (BAJU KEBAYA) Beserta Perlengkapannya,Pengadaan Langsung,31.172.620.2-422.000,CV. CITRA WULAN,Komp. Bumi Asri Gempol Sari Blok B No. 163,64900000,64350000,63800000,CV. CITRA WULAN Komp. Bumi Asri Gempol Sari Blok B No. 163,31.172.620.2-422.000
Belanja Bimbingan Teknis (Bintek SMM ISO 9001 2008),Dinas Pemuda dan Olah Raga,69184500,027/07/PPBJ-04.17.03/Dispora/XI/2014,Laburan rumdin Walikota,Pengadaan Langsung,02.587.645.9-429.000,CV. JEMBAR JAYA ABADI,KOMP.CIPADUNG PERMAI JL.PERMAI V NO.127 BANDUNG,99748578,99625810,99485450,CV. JEMBAR JAYA ABADI KOMP.CIPADUNG PERMAI JL.PERMAI V NO.127 BANDUNG,02.587.645.9-429.000
Belanja Makanan dan Minuman Kegiatan,Dinas Pemuda dan Olah Raga,55200000,027/07/PPBJ-16.01.ADispora/XII/2014,Pengadaan Karpet Pada Rumah Dinas Walikota,Pengadaan Langsung,02.081.041.2-422.000,CV. GUNA PUTRA PRATAMA,Jl. Sauyunan Raya No. 2 A,96250000,95975000,95700000,CV. GUNA PUTRA PRATAMA Jl. Sauyunan Raya No. 2 A,02.081.041.2-422.000
Belanja Pakaian Olahraga Gelar Budaya Sunda,Dinas Pemuda dan Olah Raga,60500000,027/07/PPBJ-14.bp/Dispora/XII/2014,Belanja Makan dan Minum Tamu Acara Halal Bihalal Bapak Walikota Bandung bersama PNS Pemerintah Kota Bandung pada Tanggal 14 Agustus 2014 di Sabuga,Pengadaan Langsung,31.025.412.5-429.000,CV. DEBORAH,Jl. Uranus Tengah V No.103,124500000,123205000,121700000,CV. DEBORAH Jl. Uranus Tengah V No.103,31.025.412.5-429.000
Belanja Modal Pengadaan Kontruksi/Pembelian *)Sarana Olahraga di 30 Kecamatan (Kecamatan Bandung kidul),Dinas Pemuda dan Olah Raga,66317240,027/07/PPBJ-02.26.08-bkdl/Dispora/VIII/2014,Pekerjaan Pemeliharaan & Penggantian Suku Cadang Kendaraan Dinas Operasional Roda 2 (dua) di lingkungan Setda Kota Bandung,Pengadaan Langsung,02.778.564.1-423.000,AYUNING.CV,Jl. Pasirlayung Tengah No. C 12,186450000,185058500,184734000,AYUNING.CV Jl. Pasirlayung Tengah No. C 12,02.778.564.1-423.000
Belanja Modal Pengadaan Konstruksi/Pembelian*)Sarana Olahraga di 12 Kecamatan (Bandung Wetan),Dinas Pemuda dan Olah Raga,66699520,027/07/PPBJ-26.08-bw/Dispora/VIII/2014,Pengadaan sound system di Balaikota,Pengadaan Langsung,31.478.108.9-429.000,CV. DIAN KANCANA PRATAMA,Komplek Griya Winaya Blok B6 No.16,138420700,134511300,133243000,CV. DIAN KANCANA PRATAMA Komplek Griya Winaya Blok B6 No.16,31.478.108.9-429.000
Belanja Modal Pengadaan Konstruksi/Pembelian*)Sarana Olahraga di 30 Kecamatan (Sumur Bandung),Dinas Pemuda dan Olah Raga,66688100,027/07/PPBJ-26.08-sm/Dispora/VIII/2014,Jasa Pengamanan Kantor di Lingkungan Balaikota Bulan April,Pengadaan Langsung,70.845.619.9-429.000,CV GEMILANG SURYA JAYA,Jl. Kemakmuran II No.366C Rancasari,134999920,134562450,134340250,CV GEMILANG SURYA JAYA Jl. Kemakmuran II No.366C Rancasari,70.845.619.9-429.000
Belanja Modal Pengadaan Tablet,Dinas Pemuda dan Olah Raga,189513500,027/07/PPBJ-12.bt/Dispora/XII/2014,"Perjalanan Dinas Kunjungan Kerja ke Pemerintah Kota Manado Propinsi Sulawesi Utara dalam rangka sharing informasi mengenai pengelola keuangan & laporan kinerja,keprotokolan,perlengkapan & RTP pada tanggal 03 s/d 05 September 2014",Pengadaan Langsung,02.568.496.0-423.000,PT. CITRA MADINAH TOURS,Jl. Terusan Katamso No.14 Cikutra,59997600,59504400,59227400,PT. CITRA MADINAH TOURS Jl. Terusan Katamso No.14 Cikutra,02.568.496.0-423.000
Belanja Pakaian Olahraga,Dinas Pemuda dan Olah Raga,191785000,027/07/PPBJ-20.08-bp/Dispora/XII/2014,Renovasi dan penataan ruang kerja Asisten Administrasi Umum,Pengadaan Langsung,02.235.018.5-424.000,CV. RIZKYA MARTHIN,Jl. M. Toha Gg. Mulya I No 7,174873041,174632060,174351290,CV. RIZKYA MARTHIN Jl. M. Toha Gg. Mulya I No 7,02.235.018.5-424.000
Belanja Modal Pengadaan Konstruksi/Pembelian*)Sarana Olahraga di 30 Kecamatan (Bojongloa Kaler),Dinas Pemuda dan Olah Raga,66605280,027/07/PPBJ-26.bkl/Dispora/VIII/2014,Perbaikan grassblock tempat parkir pendopo,Pengadaan Langsung,31.478.320.0-423.000,CV. BONBIT,jl. Kebon Bibit Utara I No. 169/58,99322208,99130250,98757350,CV. BONBIT jl. Kebon Bibit Utara I No. 169/58,31.478.320.0-423.000
Belanja Modal Pengadaan Konstruksi/Pembelian*)Sarana Olahraga di 30 Kecamatan (Batununggal),Dinas Pemuda dan Olah Raga,66544170,027/07/PPBJ-26.btn/Dispora/VIII/2014,Belanja bahan baku pangan di rumah dinas Bulan Desember 2014 di pendopo jln Nyland 11 dan jl Nyland 13,Pengadaan Langsung,66.106.286.9-429.000,CV. SYAHLA PRATAMA,Jl. Rancaloa Rt. 03 Rw. 03,59698320,57293770,57052050,CV. SYAHLA PRATAMA Jl. Rancaloa Rt. 03 Rw. 03,66.106.286.9-429.000
Belanja Modal Pengadaan Konstruksi/Pembelian*)Sarana Olahraga di 30 Kecamatan (Andir),Dinas Pemuda dan Olah Raga,66526500,027/07/PPBJ-26.08.adr/Dispora/VIII/2014,Belanja Cetakan Pendukung Pelaksanaan Kegiatan Penatausahaan Keuangan SKPD,Pengadaan Langsung,02.446.373.9-429.000,CV. MSP INTAN,Jl. Saluyu B-XVI No.475,59675000,58038750,57617310,CV. MSP INTAN Jl. Saluyu B-XVI No.475,02.446.373.9-429.000
Pengadaan Helm Pemadam Kebakaran,Dinas Pencegahan dan Penanggulangan Kebakaran,183562500,027/083/PPL-HPK/DPPK,Belanja Bahan Bakar Minyak/Gas dan Pelumas,Pengadaan Langsung,21.106.607.1-423.000,CV MULYA,Jl LL.R.E Martadinata No. 79,108066000,108066000,108066000,CV MULYA Jl LL.R.E Martadinata No. 79,21.106.607.1-423.000
Perbaikan Kendaraan Unit Operasional,Dinas Pencegahan dan Penanggulangan Kebakaran,89155000,027/165/PPL-Prb.UP/DPPK,Belanja Pakaian Adat Daerah,Pengadaan Langsung,03.320.555.0-422.000,CV. KENZI MANDIRI,Komp Cibolerang Blok K No. 61 Rt/Rw 07/07,59961000,59830710,59700300,CV. KENZI MANDIRI Komp Cibolerang Blok K No. 61 Rt/Rw 07/07,03.320.555.0-422.000
Pengadaan Jasa Cleaning Service Kantor Pusat dan Timur,Dinas Pencegahan dan Penanggulangan Kebakaran,194879700,027/07/PPL-JCS/DPPK,"Belanja Modal Pengadaan Kelengkapan Komputer (Flash Disk, Mouse, Keyboard, Hard Disk, Speaker)",Pengadaan Langsung,21.016.112.1-424.000,CV. TRIGEN INDONESIA,JL. BKR NO. 188 Kelurahan Ciateul Kecamatan Regol,182405300,180422000,179604700,CV. TRIGEN INDONESIA JL. BKR NO. 188 Kelurahan Ciateul Kecamatan Regol,21.016.112.1-424.000
Pengadaan Sarung Tangan,Dinas Pencegahan dan Penanggulangan Kebakaran,151800000,027173/PPL-STP/DPPK,Belanja Pakaian Dinas Harian (PDH),Pengadaan Langsung,02.333.168.9-429.000,CV. AGS,Jl. Propelat No.8,148117200,146608000,145961200,CV. AGS Jl. Propelat No.8,02.333.168.9-429.000
Belanja Modal Pengadaan Peralatan Jaringan Komputer,Dinas Pencegahan dan Penanggulangan Kebakaran,69234000,027/291/PBJ-PJK/DPPK,Belanja Modal Pengadaan Lemari Buku,Pengadaan Langsung,02.065.377.0-429.000,CV. CHANDRA JAYA,Jl. Plered XI No. 6 Antapani,92562250,90723600,90238500,CV. CHANDRA JAYA Jl. Plered XI No. 6 Antapani,02.065.377.0-429.000
Pengadaan Breathing Aparatus,Dinas Pencegahan dan Penanggulangan Kebakaran,92070000,027/160/PPL-BA/DPPK,Belanja Modal Tablet PC/Smartphone,Pengadaan Langsung,02.366.774.4-422.000,CV. OMAHIMA RPGB,Jl.Luna II nO.169/86 dan Taman Cibaduyut Indah Blok H-10A,63731250,63635000,63525000,CV. OMAHIMA RPGB Jl.Luna II nO.169/86 dan Taman Cibaduyut Indah Blok H-10A,02.366.774.4-422.000
Perbaikan Mesin Pompa (Suction Pump Anhang),Dinas Pencegahan dan Penanggulangan Kebakaran,75350000,027/231/PPL-ANH/DPPK,Belanja Pakaian Dinas Harian Warna Khaki,Pengadaan Langsung,21.015.396.1-424.000,CV. MAGHASTA,Jl. Nitipraja No. 7 RT 02 RW 05 Balong gede,73884800,73682400,73405200,CV. MAGHASTA Jl. Nitipraja No. 7 RT 02 RW 05 Balong gede,21.015.396.1-424.000
Pengadaan Handy Talky,Dinas Pencegahan dan Penanggulangan Kebakaran,59279000,027/345/PPL-HT/DPPK,Belanja Jasa Service Kendaraan Dinas/Operasional,Pengadaan Langsung,31.159.412.1-424.000,CV MUTIARA AUTO SERVICES,Jl. Terusan Buah Batu No.32,134835000,134672000,134672000,CV MUTIARA AUTO SERVICES Jl. Terusan Buah Batu No.32,31.159.412.1-424.000
Pengadaan Senter Khusus Pemadam,Dinas Pencegahan dan Penanggulangan Kebakaran,66000000,027/131/PPL-SKP/DPPK,Pengadaan meja kerja,Pengadaan Langsung,01.450.248.8-424.000,CV. HALMAHERA,Jl. Jakarta No. 20-22 Hunian Kav. 3 Bandung,198000000,196020000,195030000,CV. HALMAHERA Jl. Jakarta No. 20-22 Hunian Kav. 3 Bandung,01.450.248.8-424.000
Pengadaan Kelengkapan Pemadam,Dinas Pencegahan dan Penanggulangan Kebakaran,103356000,027/159/PPL-KP/DPPK,Pengadaan almari besi,Pengadaan Langsung,02.366.462.6-422.000,CV. GUDITA,Jl. Bougenvile II No.19 Gempol Asri Bandung,64350000,63360000,62370000,CV. GUDITA Jl. Bougenvile II No.19 Gempol Asri Bandung,02.366.462.6-422.000
Pengadaan Monitoring Camera Streaming (Unit Rescue),Dinas Pencegahan dan Penanggulangan Kebakaran,157592600,027/375/PPL-CST/DPPK,Pengadaan Printer,Pengadaan Langsung,21.147.553.8-429.000,PT. KAISAR JAYA ABADI,JL. KENCANA WANGI RAYA NO.61 A,90222330,90157100,90083400,PT. KAISAR JAYA ABADI JL. KENCANA WANGI RAYA NO.61 A,21.147.553.8-429.000
"Pengadaan Human Personal Equipment/APD (Breathing Aparatus Small Cylinder, Movible Zenset, Portabl;e Pengisian BA, Teropong Binocullar dan Movible Lighting",Dinas Pencegahan dan Penanggulangan Kebakaran,184250000,027/451/PPL-APD/DPPK,PRB.13 Rehabilitasi Ruangan Kantor UPT Cibeunying,Pengadaan Langsung,31.747.992.1-423.000,CV.NEVI KARYA,sadang luhur XIII no 1/58,69864089,69536700,69440620,CV.NEVI KARYA sadang luhur XIII no 1/58,31.747.992.1-423.000
Belanja Makan dan Minum Kegiatan Bimtek Satwankar,Dinas Pencegahan dan Penanggulangan Kebakaran,53435250,,PRB.09 Penataan Ruangan Kantor DBMP Jl. Cianjur No. 4 Bidang Pengairan,Pengadaan Langsung,02.564.090.5-445.000,CV. KARYA SAUDARA,Jl. DAMAR D - 1 RT. 01 RW. 10 BPK DS. BANDASARI KEC. CANGKUANG KAB. BANDUNG,66218818,66164170,66163550,CV. KARYA SAUDARA Jl. DAMAR D - 1 RT. 01 RW. 10 BPK DS. BANDASARI KEC. CANGKUANG KAB. BANDUNG,02.564.090.5-445.000
Pengadaan Perahu Karet beserta Kelengkapannya,Dinas Pencegahan dan Penanggulangan Kebakaran,97746000,027/374/PPL-PK/DPPK,Peningkatan JLMohamad Ramdan,Pengadaan Langsung,01.767.521.6-423.000,CV MUSLIH SAPUTRI,Jl Padasuka no 30,172270561,171787860,171328520,CV MUSLIH SAPUTRI Jl Padasuka no 30,01.767.521.6-423.000
Pakaian dan Celana PDH (lengan pendek) warna biru + Atribut dan ongkos jahit dan Pakaian dan Celana (jungle) PDL Tangan Panjang warna biru + Atribut dan ongkos jahit,Dinas Pencegahan dan Penanggulangan Kebakaran,139590000,027/393/PBJ-PDK/DPPK,Peningkatan Simpang Jl.Djuanda - Fly Over Paspati,Pengadaan Langsung,31.432.912.9-429.000,CV. ERRA KONSTRUKSI,JL. Kencana Wangi Raya No.29 Buah Batu - Bandung,199246061,198497710,198095830,CV. ERRA KONSTRUKSI JL. Kencana Wangi Raya No.29 Buah Batu - Bandung,31.432.912.9-429.000
Belanja Modal Pengadaan Telepon Color Id & Belanja Modal Pengadaan Printer Inkjet & Belanja Modal Pengadaan Printer Inkjet 6 Warna A3 & Belanja Modal Pengadaan Note Book & Belanja Modal Pengadaan Laptop & Belanja Modal Pengadaan Komputer/PC & Belanja Modal Pengadaan Filling Kabinet,Dinas Pencegahan dan Penanggulangan Kebakaran,77660000,027/523/PBJ-PRK/DPPK,PPS-24 Pasangan TPT / Pengerukan Sedimen Sal. Ciharalang Kec. Cibeunying Kidul,Pengadaan Langsung,02.913.082.0-424.000,CV. MULTI SENTOSA ABADI,Jl. H. Akhsan I No.II ( Pav ) Kota Bandung,140735062,140077070,139913830,CV. MULTI SENTOSA ABADI Jl. H. Akhsan I No.II ( Pav ) Kota Bandung,02.913.082.0-424.000
"Pengadaan Vertical Rescue Equipment (Rescue Rope, Helmet, Emergency Key, Setrecher dan Handy Talky Point to Point)",Dinas Pencegahan dan Penanggulangan Kebakaran,118217000,027/650/PPL-VR/DPPK,Pengadaan Roda Sampah / Troly,Pengadaan Langsung,31.482.670.2-445.000,CV. PERMANA PUTRA,kp.cisondari no.05 rt 001 rw 001 cisondari-pasirjambu,95425000,95287500,94875000,CV. PERMANA PUTRA kp.cisondari no.05 rt 001 rw 001 cisondari-pasirjambu,31.482.670.2-445.000
Pengadaan Jaket Lapangan,Dinas Pencegahan dan Penanggulangan Kebakaran,153010000,027/554/PBJ-JKL/DPPK,Jl Karang Mulya,Pengadaan Langsung,31.322.350.5-446.000,CV.FASYA TEKNIK,PER.GRIYA JATINANGOR i jL.Seroja Iv No.1 Rt.02/10 Ds.Sukarapih Sukasari Sumedang,112691173,112482280,111925380,CV.FASYA TEKNIK PER.GRIYA JATINANGOR i jL.Seroja Iv No.1 Rt.02/10 Ds.Sukarapih Sukasari Sumedang,31.322.350.5-446.000
"Pengadaan Rescue Unit Equipment Personal and Life (Fire Blanket, Rescue Line, Patien Bed, Kantong Mayat, P3K, Smoke Flash Light, Sarung Tangan, Sarung Tangan Karet, Plastik, Rope, Masker, Jaring Korban dan Animal Escape Equipment)",Dinas Pencegahan dan Penanggulangan Kebakaran,116968500,027/642/PPL-REPL/DPPK,Rehabilitasi/Pemeliharaan Periodik Jl.Karapitan,Pengadaan Langsung,02.736.097.3-444.000,CV. SUKAPURA JAYA ABADI,JL. Pandan Wangi III No. 4 Cinunuk,198391346,197397550,197070850,CV. SUKAPURA JAYA ABADI JL. Pandan Wangi III No. 4 Cinunuk,02.736.097.3-444.000
Belanja Modal Pengadaan Sound System Ruang Conference BBC & Belanja Modal Pengadaan Infocus Statis (braket + layar) & Belanja Modal Pengadaan Infocus Portable & Belanja Modal Pengadaan TV Flat & Belanja Modal Pengadaan TV 42 & Belanja Modal Pengadaan Pendingin Ruangan/AC + Pemasangan,Dinas Pencegahan dan Penanggulangan Kebakaran,75295000,027/596/PBJ-RTD/DPPK,BTS-19 Pasangan TPT Sal. Cidadap Kec. Cidadap,Pengadaan Langsung,01.241.160.9-424.000,CV. NUSA BUMI,Jl. Bab. H. Tamim No. 46/139 A,109633616,109167480,109036140,CV. NUSA BUMI Jl. Bab. H. Tamim No. 46/139 A,01.241.160.9-424.000
Belanja pakaian adat daerah (Pakaian Pangsi beserta kelengkapannya + Kebaya beserta kelengkapannya) & Pengadaan Pakaian Dinas Upacara (PDU),Dinas Pencegahan dan Penanggulangan Kebakaran,55269500,027/575/PBJ-PKT/DPPK,Peningkatan Jl.Sumur Bandung,Pengadaan Langsung,02.064.296.3-421.000,CV. SUKAJAYA,JL. SUKAJAYA NO. 10 CIBABAT KOTA CIMAHI,184240642,183342270,183015460,CV. SUKAJAYA JL. SUKAJAYA NO. 10 CIBABAT KOTA CIMAHI,02.064.296.3-421.000
Belanja Pakaian Olah Raga,Dinas Pencegahan dan Penanggulangan Kebakaran,105103350,027/581/PBJ-POR/DPPK,Belanja bahan baku bangunan bahan material konstruksi tahap 11,Pengadaan Langsung,01.240.346.5-423.000,CV. FERDA LESTARI,Jln. Utama No.24 Padasuka Bandung,198602580,197382790,196121200,CV. FERDA LESTARI Jln. Utama No.24 Padasuka Bandung,01.240.346.5-423.000
Pengadaan Sepatu Kerja Lapangan,Dinas Pencegahan dan Penanggulangan Kebakaran,146157000,027/584/PBJ-SKL/DPPK,BTS-38 Pasangan TPT Sal. Cisaranten Lama Kec. Gede Bage,Pengadaan Langsung,02.235.783.4-424.000,CV. VIESTA SETIA,Jl. Kebon Jayanti No. 67 Bandung,95842558,95566050,95456050,CV. VIESTA SETIA Jl. Kebon Jayanti No. 67 Bandung,02.235.783.4-424.000
"Pengadaan Swift Water Rescue Equipment (Life Jacket + Helmet, Water Suit + Boot dan Water Rope + Knife)",Dinas Pencegahan dan Penanggulangan Kebakaran,112101000,027/553/PPL-SWRE/DPPK,Pembangunan PJL Jl. Kavling ( Mulai Jl. Pasir Impun s/d Ujung Jalan),Pengadaan Langsung,01.612.166.7-424.000,CV. ARRESTER,Jl. Binongjati II no 163 Bandung,75227325,74944680,74709580,CV. ARRESTER Jl. Binongjati II no 163 Bandung,01.612.166.7-424.000
Pengadaan Swift Water Rescue Equipment,Dinas Pencegahan dan Penanggulangan Kebakaran,73700000,027/539/PPL-SW/DPPK,Pembangunan PJL Jl Kebon Sirih Dalam,Pengadaan Langsung,02.241.409.8-423.000,CV.PRIMA SHINA,JL.Bangbayang No.78 Kelurahan Dago Bandung,97083197,96717930,96359680,CV.PRIMA SHINA JL.Bangbayang No.78 Kelurahan Dago Bandung,02.241.409.8-423.000
Pengadaan Jaket Harian,Dinas Pencegahan dan Penanggulangan Kebakaran,66000000,027/579/PBJ-JHP/DPPK,SS.19. PASANGAN TPT S. CIHAMPELAS SEBELAH KANAN KEC. ANDIR,Pengadaan Langsung,21.086.732.1-429.000,CV. RINALDI PUTRA,"Jl. Terusan Sukup Baru I No. 6 RT 007 RW 006, Pasir Endah, Ujung Berung Bandung",80654014,80363500,80272200,"CV. RINALDI PUTRA Jl. Terusan Sukup Baru I No. 6 RT 007 RW 006, Pasir Endah, Ujung Berung Bandung",21.086.732.1-429.000
Pelaburan Gedung Kantor Pusat Dalam Ruangan dan Luar Ruangan,Dinas Pencegahan dan Penanggulangan Kebakaran,89516670,027/1103/PBJ-PGK/DPPK,BTS-49 Pasangan TPT Sal. Pembuang Saturnus Kec. Buah Batu,Pengadaan Langsung,01.201.440.3-424.000,CV. FADITA UTAMA,Jl. Jakarta No. 20-22 Hun. Kav. 3 Komp. Kota Kembang,122756599,122550960,122437110,CV. FADITA UTAMA Jl. Jakarta No. 20-22 Hun. Kav. 3 Komp. Kota Kembang,01.201.440.3-424.000
Belanja Accu dan Ban,Dinas Pencegahan dan Penanggulangan Kebakaran,87379600,027/353/PPL-ACB/DPPK,BDS.78. Pasangan TPT S. Cikapundung Mengger Kec. Bandung Kidul,Pengadaan Langsung,02.481.007.9-423.000,CV CAHAYA BUDHIMAN,Jl.Sukasirna no. 57 Bandung,167402332,166640970,166283330,CV CAHAYA BUDHIMAN Jl.Sukasirna no. 57 Bandung,02.481.007.9-423.000
